employee_id,employee_name,role,hiredate,salary,dept_no,email
1,Victoria Crosby,Designer,2020-08-01,79102.54,3,victoria.crosby@uh.com
2,Richard Long,Designer,2021-06-11,57296.79,1,richard.long@uh.com
3,Dominique Anderson,Designer,2020-07-18,44334.7,1,dominique.anderson@uh.com
4,Rachel Simpson,HR,2022-12-06,44488.6,2,rachel.simpson@uh.com
5,Roberto Christian,Developer,2021-10-31,56602.91,3,roberto.christian@uh.com
6,Pamela Elliott,Analyst,2021-07-29,95399.97,3,pamela.elliott@uh.com
7,Jacob Reeves,Analyst,2021-06-25,49745.34,3,jacob.reeves@uh.com
8,Renee Lee,HR,2022-10-01,51309.05,2,renee.lee@uh.com
9,Lynn Walters,Designer,2021-10-20,54833.43,3,lynn.walters@uh.com
10,Tyler Choi,Designer,2022-11-10,54231.98,2,tyler.choi@uh.com
11,Debbie Contreras,Analyst,2020-12-12,85821.09,3,debbie.contreras@uh.com
12,Casey Woods,Manager,2021-04-06,52064.58,3,casey.woods@uh.com
13,John Jackson,HR,2021-08-12,58756.33,2,john.jackson@uh.com
14,Rachel Jordan,HR,2020-03-14,64564.3,1,rachel.jordan@uh.com
15,Kenneth Warren,Developer,2020-03-06,78620.37,2,kenneth.warren@uh.com
16,Larry Smith,Designer,2022-01-18,38020.93,3,larry.smith@uh.com
17,Jerome Davis,Designer,2023-05-03,94886.23,1,jerome.davis@uh.com
18,Julie Davis,Analyst,2020-11-01,94286.49,3,julie.davis@uh.com
19,Jose Smith,Designer,2020-06-01,39060.88,3,jose.smith@uh.com
20,Dana Walters,HR,2020-03-18,43348.24,1,dana.walters@uh.com
21,William Lopez,Designer,2023-02-13,99133.51,2,william.lopez@uh.com
22,Holly Stanley,HR,2020-01-27,83580.67,1,holly.stanley@uh.com
23,Nancy Garcia,Manager,2022-06-12,95305.22,2,nancy.garcia@uh.com
24,Jennifer Evans,Developer,2020-06-08,78643.62,3,jennifer.evans@uh.com
25,Emily Lowe,Developer,2022-01-18,31518.35,1,emily.lowe@uh.com
26,Sandra Snyder,Developer,2021-01-27,57542.41,3,sandra.snyder@uh.com
27,Cindy Mcknight,Designer,2021-12-29,53696.71,1,cindy.mcknight@uh.com
28,Sarah Edwards,HR,2023-02-13,68586.12,2,sarah.edwards@uh.com
29,John Wilson,Developer,2023-09-17,30848.96,1,john.wilson@uh.com
30,Victoria Parker,Manager,2023-04-24,61835.29,2,victoria.parker@uh.com
31,Todd Becker,Developer,2020-10-26,98804.42,2,todd.becker@uh.com
32,William Nichols,Manager,2021-11-08,57021.5,2,william.nichols@uh.com
33,Madison Freeman,Developer,2022-03-31,45067.94,1,madison.freeman@uh.com
34,Kelly Morales,Developer,2022-10-15,62079.18,2,kelly.morales@uh.com
35,Kelly Dennis,Analyst,2023-06-18,80955.89,1,kelly.dennis@uh.com
36,Brittney Nelson,HR,2022-10-03,73317.79,2,brittney.nelson@uh.com
37,Deborah Snow,Manager,2023-02-04,95130.5,2,deborah.snow@uh.com
38,Julie Jimenez,Developer,2020-04-18,47310.93,3,julie.jimenez@uh.com
39,Shawn Logan,HR,2023-07-05,54121.19,3,shawn.logan@uh.com
40,Jessica Kennedy MD,Manager,2022-01-12,45045.99,1,jessica.kennedy.md@uh.com
41,Julie Ward,Manager,2023-05-03,32270.22,2,julie.ward@uh.com
42,Jack Gay,Designer,2020-06-03,40811.76,2,jack.gay@uh.com
43,Tracy Sullivan,Manager,2022-10-20,98205.49,1,tracy.sullivan@uh.com
44,Joseph Oneal,Developer,2020-06-14,83053.18,3,joseph.oneal@uh.com
45,Chris Matthews,Developer,2021-06-04,47018.95,1,chris.matthews@uh.com
46,Susan Newman,Developer,2023-08-03,42156.64,1,susan.newman@uh.com
47,Christopher Mitchell,Developer,2023-04-13,37467.26,1,christopher.mitchell@uh.com
48,Jacob Coleman,Developer,2023-10-22,44388.85,1,jacob.coleman@uh.com
49,Gerald Burch,Designer,2021-09-26,83746.69,1,gerald.burch@uh.com
50,Sara Wilson,Designer,2022-07-25,98304.44,2,sara.wilson@uh.com
51,Katherine Ward,Developer,2023-04-28,96808.69,2,katherine.ward@uh.com
52,Marcia Anderson,HR,2022-09-15,95228.26,2,marcia.anderson@uh.com
53,April Hart,Analyst,2021-10-07,37461.07,1,april.hart@uh.com
54,Joshua Collins,Developer,2023-06-18,80800.92,1,joshua.collins@uh.com
55,Neil Winters,Developer,2023-01-22,61351.21,1,neil.winters@uh.com
56,Jillian Coffey,Designer,2020-12-05,85029.92,3,jillian.coffey@uh.com
57,Valerie Torres,Manager,2023-07-26,61460.6,2,valerie.torres@uh.com
58,William Myers,Manager,2020-04-27,64731.65,1,william.myers@uh.com
59,Gina Kramer,Analyst,2020-09-04,60751.61,1,gina.kramer@uh.com
60,Paula Washington,Designer,2023-08-06,92527.88,1,paula.washington@uh.com
61,Ryan Quinn MD,Manager,2023-01-10,38365.23,2,ryan.quinn.md@uh.com
62,Alexandra White,Manager,2022-05-29,48734.24,1,alexandra.white@uh.com
63,Crystal Jackson,HR,2022-09-22,45872.58,2,crystal.jackson@uh.com
64,Rachel Simpson,Developer,2023-10-25,97405.08,1,rachel.simpson@uh.com
65,Teresa Carter,HR,2021-06-11,75043.2,1,teresa.carter@uh.com
66,Lonnie Ochoa,Analyst,2020-05-09,61544.13,3,lonnie.ochoa@uh.com
67,Leonard Munoz,Analyst,2021-06-11,81207.91,2,leonard.munoz@uh.com
68,Steven Williams,Developer,2021-02-22,42853.07,2,steven.williams@uh.com
69,Charles Edwards,HR,2022-03-05,77712.98,2,charles.edwards@uh.com
70,Jennifer Diaz,Designer,2021-07-16,69053.89,1,jennifer.diaz@uh.com
71,Ethan Miller,Manager,2023-10-19,64340.7,3,ethan.miller@uh.com
72,Mr. Brett Reyes,Developer,2023-10-15,32209.64,1,mr..brett.reyes@uh.com
73,Jessica Reed,Manager,2023-08-21,98718.47,2,jessica.reed@uh.com
74,Paula Elliott,Developer,2022-06-21,67854.5,2,paula.elliott@uh.com
75,Daniel Gardner,Manager,2021-08-19,42406.92,3,daniel.gardner@uh.com
76,Cynthia Evans,HR,2021-03-07,80081.34,3,cynthia.evans@uh.com
77,Paula Burnett,HR,2021-07-28,79208.62,3,paula.burnett@uh.com
78,Mackenzie Rogers,HR,2021-03-13,30898.58,3,mackenzie.rogers@uh.com
79,Mark Huber,HR,2022-10-29,58022.57,2,mark.huber@uh.com
80,Alyssa Manning,Designer,2021-06-01,45002.32,2,alyssa.manning@uh.com
81,Linda Jones,Developer,2022-08-24,40796.07,3,linda.jones@uh.com
